location,lat,lon
"Kohl Building (400 Montgomery Street) San Francisco",37.793141,-122.402585
"Bank of America Building (555 California Street) San Francisco",37.793301,-122.401632
"90 Gold Street San Francisco",37.79679,-122.403381
"5th and Beale Streets San Francisco",37.788706,-122.39277
"Westin St. Francis Hotel (335 Powell Street, Union Square) San Francisco",37.787828,-122.408731
"Fort Mason (Golden Gate National Recreation Area) San Francisco",37.805484,-122.42838
"Public Health Service Hospital (Presidio, Golden Gate National Recreation Area) San Francisco",37.77493,-122.419416
"Presidio, Golden Gate National Recreation Area San Francisco",37.801684,-122.472438
"City Hall San Francisco",37.77493,-122.419416
"Bix Restaurant (56 Gold Street) San Francisco",37.79687,-122.402942
"Golden Gate Bridge San Francisco",37.819048,-122.478393
"Chinatown San Francisco",37.794138,-122.407791
"Treasure Island San Francisco",37.823552,-122.370648
"Palace of Fine Arts (3301 Lyon Street) San Francisco",37.802899,-122.448774
"The Walden House, Buena Vista Park San Francisco",37.77493,-122.419416
"Café Trieste (609 Vallejo) San Francisco",37.77493,-122.419416
"War Memorial Opera House (401 Van Ness Avenue) San Francisco",37.77859,-122.420917
"Sutter & Buchannan Streets San Francisco",37.786514,-122.42999
"Sutter & Baker Streets San Francisco",37.784831,-122.443208
"Sokoji-Soto Zen Buddhist Temple (1691 Laguna Street) San Francisco",37.78651,-122.428586
"Sacramento & Hyde Streets (Nob Hill) San Francisco",37.791938,-122.417608
"Postcard Row (Alamo Square, Hayes Valley) San Francisco",37.775907,-122.424525
"Potrero Hill Bathhouse & Feed Co. (199 Mississippi Street) San Francisco",37.764121,-122.394525
"Octavia & Hayes Streets (Hayes Valley) San Francisco",37.776714,-122.424397
"Montgomery & Pine Streets (Financial District) San Francisco",37.791911,-122.402597
"Laguna & Sacramento Streets (Pacific Heights) San Francisco",37.790472,-122.429121
"Hayes Valley Care (601 Laguna Street, Hayes Valley) San Francisco",37.776886,-122.426689
